number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_min_data_in_leaf,params_n_estimators,params_num_leaves,state,naive_pinball_p50,improvement_vs_naive
0,398.106318003033,2025-09-09 21:03:15.754423,2025-09-09 21:03:32.331734,0 days 00:00:16.577311,0.06093924062466484,105,1313,15,COMPLETE,386.12595863324486,-0.03102707575578334
1,430.5042250835613,2025-09-09 21:03:32.331937,2025-09-09 21:03:40.537771,0 days 00:00:08.205834,0.020667851018791667,157,652,75,COMPLETE,386.12595863324486,-0.11493209782476299
2,363.73263265633386,2025-09-09 21:03:40.537945,2025-09-09 21:04:11.286768,0 days 00:00:30.748823,0.03288706338735572,64,1116,80,COMPLETE,386.12595863324486,0.05799487311388174
3,315.0896039191966,2025-09-09 21:04:11.287039,2025-09-09 21:04:41.658930,0 days 00:00:30.371891,0.027754361836807528,20,1110,28,COMPLETE,386.12595863324486,0.18397197371938656
4,420.47786522487775,2025-09-09 21:04:41.659098,2025-09-09 21:04:49.268539,0 days 00:00:07.609441,0.04607849136471179,141,561,62,COMPLETE,386.12595863324486,-0.08896554562979131
5,446.6492556322705,2025-09-09 21:04:49.268706,2025-09-09 21:05:00.010933,0 days 00:00:10.742227,0.15508778243803908,199,1077,57,COMPLETE,386.12595863324486,-0.15674495756063034
6,438.243450213816,2025-09-09 21:05:00.011081,2025-09-09 21:05:09.954649,0 days 00:00:09.943568,0.14401742478623564,184,905,31,COMPLETE,386.12595863324486,-0.13497536338931848
7,401.32238138689803,2025-09-09 21:05:09.954796,2025-09-09 21:05:20.686562,0 days 00:00:10.731766,0.10248513901248149,111,633,82,COMPLETE,386.12595863324486,-0.03935612826302415
8,372.2412157139703,2025-09-09 21:05:20.686718,2025-09-09 21:05:46.156740,0 days 00:00:25.470022,0.12465516387423789,79,1107,83,COMPLETE,386.12595863324486,0.03595910248671663
9,356.80385256968526,2025-09-09 21:05:46.156906,2025-09-09 21:06:03.860581,0 days 00:00:17.703675,0.1793725531118446,69,776,33,COMPLETE,386.12595863324486,0.07593922503255135
10,308.6729599737772,2025-09-09 21:06:03.860758,2025-09-09 21:06:24.840230,0 days 00:00:20.979472,0.02074904617880204,19,322,118,COMPLETE,386.12595863324486,0.20058998087987934
11,300.734238111265,2025-09-09 21:06:24.840395,2025-09-09 21:06:55.425255,0 days 00:00:30.584860,0.022576427132060588,18,441,119,COMPLETE,386.12595863324486,0.22114990876095886
12,304.7519359784962,2025-09-09 21:06:55.425431,2025-09-09 21:07:20.575211,0 days 00:00:25.149780,0.021770918599140102,11,312,122,COMPLETE,386.12595863324486,0.21074476044756263
13,349.5511022414672,2025-09-09 21:07:20.575379,2025-09-09 21:07:32.356501,0 days 00:00:11.781122,0.03299110192643459,41,304,125,COMPLETE,386.12595863324486,0.09472260430570445
14,304.8327245625513,2025-09-09 21:07:32.356756,2025-09-09 21:08:10.131953,0 days 00:00:37.775197,0.04476508141761268,11,465,107,COMPLETE,386.12595863324486,0.21053553187266694
15,349.50606180060265,2025-09-09 21:08:10.132136,2025-09-09 21:08:25.896964,0 days 00:00:15.764828,0.02627968364226621,47,457,102,COMPLETE,386.12595863324486,0.09483925132167814
16,334.7606691792146,2025-09-09 21:08:25.897119,2025-09-09 21:08:44.798202,0 days 00:00:18.901083,0.07870231738046708,40,431,100,COMPLETE,386.12595863324486,0.1330272889081222
17,403.1680233821893,2025-09-09 21:08:44.798376,2025-09-09 21:08:57.113828,0 days 00:00:12.315452,0.04739894558136237,111,722,113,COMPLETE,386.12595863324486,-0.04413602444463338
18,388.66293682410367,2025-09-09 21:08:57.113983,2025-09-09 21:09:08.557568,0 days 00:00:11.443585,0.035872151828182,89,548,93,COMPLETE,386.12595863324486,-0.00657033834202414
19,338.23069967644017,2025-09-09 21:09:08.557749,2025-09-09 21:09:50.002393,0 days 00:00:41.444644,0.02462163335594978,35,885,126,COMPLETE,386.12595863324486,0.12404050514069997
20,358.6545602345367,2025-09-09 21:09:50.002565,2025-09-09 21:10:00.511220,0 days 00:00:10.508655,0.06343971545500368,62,377,96,COMPLETE,386.12595863324486,0.0711462096357044
21,308.5361748420729,2025-09-09 21:10:00.511373,2025-09-09 21:10:38.555840,0 days 00:00:38.044467,0.042450613049527464,13,485,111,COMPLETE,386.12595863324486,0.20094423090800084
22,304.0008713205976,2025-09-09 21:10:38.556276,2025-09-09 21:11:06.461510,0 days 00:00:27.905234,0.025166635315214906,16,399,112,COMPLETE,386.12595863324486,0.21268988908008746
23,327.8433014604519,2025-09-09 21:11:06.461671,2025-09-09 21:11:23.980942,0 days 00:00:17.519271,0.022596712953819428,32,378,118,COMPLETE,386.12595863324486,0.15094208475155058
24,356.52563873034325,2025-09-09 21:11:23.981100,2025-09-09 21:11:41.842320,0 days 00:00:17.861220,0.028918011519485663,52,553,126,COMPLETE,386.12595863324486,0.07665975115394141
25,322.17927066890803,2025-09-09 21:11:41.842485,2025-09-09 21:11:57.985484,0 days 00:00:16.142999,0.03666104261425899,29,311,91,COMPLETE,386.12595863324486,0.1656109529405546
26,301.9767962794021,2025-09-09 21:11:57.985685,2025-09-09 21:12:37.618951,0 days 00:00:39.633266,0.024021808742665452,24,647,107,COMPLETE,386.12595863324486,0.2179318962436566
27,358.42697208052897,2025-09-09 21:12:37.619200,2025-09-09 21:12:58.305149,0 days 00:00:20.685949,0.029460688189496178,55,666,112,COMPLETE,386.12595863324486,0.07173562391599086
28,317.7863631312006,2025-09-09 21:12:58.305319,2025-09-09 21:13:34.093383,0 days 00:00:35.788064,0.054403034528997175,28,784,65,COMPLETE,386.12595863324486,0.1769878299401142
29,390.8221992251306,2025-09-09 21:13:34.093547,2025-09-09 21:13:58.907230,0 days 00:00:24.813683,0.070611725858271,97,1289,104,COMPLETE,386.12595863324486,-0.012162457578632768
30,425.6770539803117,2025-09-09 21:13:58.907507,2025-09-09 21:14:07.137623,0 days 00:00:08.230116,0.038905701506000034,138,584,50,COMPLETE,386.12595863324486,-0.10243055268043699
31,303.90698143053396,2025-09-09 21:14:07.137778,2025-09-09 21:14:40.159149,0 days 00:00:33.021371,0.02419843336372524,10,396,117,COMPLETE,386.12595863324486,0.21293304779025535
32,318.92127399829224,2025-09-09 21:14:40.159344,2025-09-09 21:15:03.297502,0 days 00:00:23.138158,0.02427361699520906,27,419,115,COMPLETE,386.12595863324486,0.17404860546759005
33,305.2192052942115,2025-09-09 21:15:03.297663,2025-09-09 21:15:31.144113,0 days 00:00:27.846450,0.020266682002044917,22,508,87,COMPLETE,386.12595863324486,0.20953461307138177
34,345.7454287197092,2025-09-09 21:15:31.144286,2025-09-09 21:15:55.518412,0 days 00:00:24.374126,0.031180603696882796,44,636,108,COMPLETE,386.12595863324486,0.1045786459332314
35,303.996143773415,2025-09-09 21:15:55.518592,2025-09-09 21:16:26.636059,0 days 00:00:31.117467,0.02596141828359448,10,403,97,COMPLETE,386.12595863324486,0.21270213261636595
36,375.84138349117313,2025-09-09 21:16:26.636211,2025-09-09 21:16:39.079123,0 days 00:00:12.442912,0.027742455012598536,74,523,74,COMPLETE,386.12595863324486,0.026635285486828253
37,358.1518328524191,2025-09-09 21:16:39.079292,2025-09-09 21:16:54.535197,0 days 00:00:15.455905,0.0330614804319177,57,1004,15,COMPLETE,386.12595863324486,0.07244818732168312
38,418.8315321156108,2025-09-09 21:16:54.535350,2025-09-09 21:17:05.047220,0 days 00:00:10.511870,0.02312772944247652,127,699,97,COMPLETE,386.12595863324486,-0.08470182527518366
39,433.285770353271,2025-09-09 21:17:05.047389,2025-09-09 21:17:09.506256,0 days 00:00:04.458867,0.09113093611794572,168,367,120,COMPLETE,386.12595863324486,-0.12213582294999248
40,307.11476121744687,2025-09-09 21:17:09.506398,2025-09-09 21:17:48.857904,0 days 00:00:39.351506,0.05447451196022198,23,614,104,COMPLETE,386.12595863324486,0.2046254483782206
41,309.8495985440031,2025-09-09 21:17:48.858072,2025-09-09 21:18:16.243374,0 days 00:00:27.385302,0.026321671377776412,17,404,109,COMPLETE,386.12595863324486,0.1975426888138634
42,309.7161192999532,2025-09-09 21:18:16.243535,2025-09-09 21:18:56.960990,0 days 00:00:40.717455,0.020032348509320706,11,496,116,COMPLETE,386.12595863324486,0.19788837716002472
43,334.00975570427715,2025-09-09 21:18:56.961150,2025-09-09 21:19:12.111468,0 days 00:00:15.150318,0.02431169747985885,35,351,122,COMPLETE,386.12595863324486,0.1349720260027102
44,311.38271470988934,2025-09-09 21:19:12.111619,2025-09-09 21:19:34.687485,0 days 00:00:22.575866,0.026834103764138837,21,426,78,COMPLETE,386.12595863324486,0.19357218092231165
45,337.9993590208909,2025-09-09 21:19:34.687640,2025-09-09 21:20:10.046095,0 days 00:00:35.358455,0.03181831974518872,36,779,99,COMPLETE,386.12595863324486,0.12463963775630582
46,349.2524417949377,2025-09-09 21:20:10.046255,2025-09-09 21:20:29.350536,0 days 00:00:19.304281,0.022379479188733554,47,558,88,COMPLETE,386.12595863324486,0.09549608363246787
47,304.88293680150827,2025-09-09 21:20:29.350700,2025-09-09 21:20:59.514579,0 days 00:00:30.163879,0.024953191408327094,18,456,106,COMPLETE,386.12595863324486,0.2104054907867614
48,306.8988472038831,2025-09-09 21:20:59.514828,2025-09-09 21:21:15.558509,0 days 00:00:16.043681,0.029891066341639353,10,361,47,COMPLETE,386.12595863324486,0.20518462863724285
49,314.30132446275707,2025-09-09 21:21:15.558676,2025-09-09 21:21:51.096482,0 days 00:00:35.537806,0.035374109698993614,27,605,121,COMPLETE,386.12595863324486,0.18601348229661296
50,337.10388439994045,2025-09-09 21:21:51.096654,2025-09-09 21:22:43.566690,0 days 00:00:52.470036,0.021801803402510433,40,1251,114,COMPLETE,386.12595863324486,0.12695876342224166
51,309.65585029591165,2025-09-09 21:22:43.566874,2025-09-09 21:23:07.928578,0 days 00:00:24.361704,0.021786161954678574,11,300,127,COMPLETE,386.12595863324486,0.19804446354244476
52,303.2492682325748,2025-09-09 21:23:07.928723,2025-09-09 21:23:34.827149,0 days 00:00:26.898426,0.026677715925972994,21,410,119,COMPLETE,386.12595863324486,0.21463641215427598
53,300.70867925893947,2025-09-09 21:23:34.827324,2025-09-09 21:24:07.483822,0 days 00:00:32.656498,0.0268856715649156,17,456,117,COMPLETE,386.12595863324486,0.22121610180432738
54,303.0439210841973,2025-09-09 21:24:07.484259,2025-09-09 21:25:41.938888,0 days 00:01:34.454629,0.027622350773017793,24,1397,123,COMPLETE,386.12595863324486,0.21516822604501873
55,315.9516615960524,2025-09-09 21:25:41.939324,2025-09-09 21:26:54.501217,0 days 00:01:12.561893,0.02773081588928205,31,1362,119,COMPLETE,386.12595863324486,0.18173939220658897
56,350.6458901440212,2025-09-09 21:26:54.501392,2025-09-09 21:27:37.931664,0 days 00:00:43.430272,0.03831820446946672,50,1212,123,COMPLETE,386.12595863324486,0.09188729142897067
57,358.363686797105,2025-09-09 21:27:37.931823,2025-09-09 21:28:06.476023,0 days 00:00:28.544200,0.03331113245588931,63,1025,117,COMPLETE,386.12595863324486,0.07189952194462368
58,306.1669660304814,2025-09-09 21:28:06.476202,2025-09-09 21:29:11.374187,0 days 00:01:04.897985,0.13397578286677952,23,914,127,COMPLETE,386.12595863324486,0.20708007533549733
59,334.0779455393222,2025-09-09 21:29:11.374806,2025-09-09 21:30:14.614974,0 days 00:01:03.240168,0.1912599137083739,39,1396,111,COMPLETE,386.12595863324486,0.13479542602666506
